id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
43e0ccd9-aaa7-4c62-9959-f64a8f3b3ced,2020,Balance general,Total pasivos,389804.0,389.804,millones COP,false
738e0e59-38e3-490b-90ac-2e8b50cfa8f8,2021,Balance general,Total pasivos,394679.0,394.679,millones COP,false
01c049fc-9da7-4cb0-b5e4-50fdb88a2ba4,2022,Balance general,Total pasivos,446346.0,446.346,millones COP,false
e1c3044d-f9e9-49f8-b096-bdf024bd3fcf,2023,Balance general,Total pasivos,456889.0,456.889,millones COP,false
a906e903-96f9-447a-993a-388aa4bb1895,2024,Balance general,Total pasivos,459940.0,459.940,millones COP,false
6230fc20-0de8-43cd-b3ec-459caf16a174,2019,Balance general,Capitales,251776.0,251.776,millones COP,false
b9f8efe6-d5cb-445c-946a-887ad498b153,2020,Balance general,Capitales,250219.0,250.219,millones COP,false
7a4c1adf-d994-4073-8500-64f5605dda17,2021,Balance general,Capitales,250251.0,250.251,millones COP,false
fb873154-d7f6-4b7c-bf5c-430830812bc8,2022,Balance general,Capitales,251056.0,251.056,millones COP,false
1cbfdf21-01cb-4bab-9aa3-17430fbe954b,2023,Balance general,Capitales,250918.0,250.918,millones COP,false
c9874273-0a74-4242-84a9-4b4e339dc4e6,2024,Balance general,Capitales,264206.0,264.206,millones COP,false
0e0e29f7-5558-40fb-a152-7e16b251849f,2019,Balance general,Reservas,34226.0,34.226,millones COP,false
c538a637-8d1c-46f5-a4b9-801c12aaf5d6,2020,Balance general,Reservas,35645.0,35.645,millones COP,false
adb41c05-0039-48c8-a067-87907d62f9bc,2021,Balance general,Reservas,16087.0,16.087,millones COP,false
a7bdd037-cd02-4e10-8dc1-9a8f30d6050e,2022,Balance general,Reservas,16087.0,16.087,millones COP,false
f594646d-9478-4dd5-847a-89549bd64e50,2023,Balance general,Reservas,18511.0,18.511,millones COP,false
9169143d-1dbc-43b9-a89c-b633de935516,2024,Balance general,Reservas,21393.0,21.393,millones COP,false
1485e51b-6263-43f7-93f6-5fce778029e6,2019,Balance general,Resultado de Ej. Ant.,62976.0,62.976,millones COP,false
90292205-6aee-4166-aad7-94ae32c4e5ef,2020,Balance general,Resultado de Ej. Ant.,19328.0,19.328,millones COP,false
38416f77-7dcd-4aaa-b95d-950d8d1e3e64,2021,Balance general,Resultado de Ej. Ant.,26682.0,26.682,millones COP,false
4c455832-c138-4267-8049-4a3ff8ae98a8,2022,Balance general,Resultado de Ej. Ant.,48040.0,48.040,millones COP,false
